center_name,지하철_개수,가중_평균_접근성
송도 AIT센터,3,43.16
송도건원테크노큐브,4,58.38
송도비알씨스마트밸리지식산업센터,2,25.85
송도테크노파크BT센터,3,53.36
인천테크노파크 AT센터,3,46.26
본에스티스 지식산업센터,4,43.06
인천 중구 항동7가 지식산업센터,1,1.08
유니콘 101,1,2.6
아산 탕정일반산업단지 지식산업센터,2,11.96
와촌동 지식산업센터,2,85.7
